type,sellingprice,count,year
Convertible,18139.536733018675,9746,2008.7811409809153
Coupe,16438.050713066463,18161,2009.5143439237927
Hatchback,10163.397128584022,23821,2011.0887452248016
Minivan,11349.69650834169,21938,2010.3149329929802
SUV,16148.859830699028,120968,2010.0372991204285
Sedan,11895.366862630994,218237,2010.4570031662824
Truck,18149.38998913473,40496,2009.5296572500988
Van,15204.847284345047,4695,2011.295420660277
Wagon,10102.426558227582,14263,2009.7352590619084
